,GDPRV,TPOPP,TEICB,TECCB,TEEIB,TERCB,TEACB,PATXB,CLTXB,NGTXB,RETCB
1970,111985.0,20007.0,1864435.855,771510.5428,1246965.806,1046211.531,1832688.305,2381891.2,61811.50474,1570666.584,521978.1167
1971,120372.0,20345.939,1857639.511,830871.1509,1260657.219,1166815.81,1909118.082,2457835.022,51014.75909,1672104.598,533790.0941
1972,133143.0,20585.469,1912835.836,854372.9131,1286937.229,1192521.045,1932051.017,2489898.239,47451.94713,1660208.769,472311.9171
1973,147231.0,20868.728,2014388.781,878102.3208,1416001.154,1189442.791,1987098.907,2590147.046,66956.00654,1670273.892,553161.7389
1974,161815.0,21173.865,1946510.863,844943.8596,1273250.115,1148332.809,1899594.416,2486381.255,60670.1672,1624846.661,645073.0418
1975,178394.0,21537.849,1905924.434,971538.6072,1303984.794,1220288.264,1955852.254,2503302.363,56405.23,1645457.575,578577.8801
1976,197347.0,21935.909,1956581.745,979744.5442,1256881.013,1202299.232,2065484.61,2650064.103,66629.89346,1536713.727,422851.6023
1977,229592.0,22352.396,2027050.379,995873.7238,1451496.78,1153748.507,2206924.591,2835959.239,75109.05148,1483950.358,338072.6862
1978,262803.0,22835.958,1923137.962,1005773.746,1455182.519,1195699.292,2372998.734,3044760.79,67891.9103,1326035.028,576600.8718
1979,293491.0,23256.88,2062065.583,1051580.317,1590282.838,1289994.298,2354345.67,3129940.026,68564.94334,1431296.467,559805.6495
1980,327958.0,23800.8,1898056.517,1085300.13,1484998.803,1225645.64,2363749.739,3100849.568,66169.6168,1345094.264,591927.6271
1981,368808.0,24285.933,1695529.593,1132070.24,1386526.316,1192108.862,2345618.119,2955042.38,78400.54828,1255997.676,503653.7258
1982,393788.0,24820.009,1552216.501,1085584.066,1280664.047,1231949.133,2230679.052,2797204.087,69414.68153,1203044.486,702807.7046
1983,426143.0,25360.026,1628757.207,1004807.539,1281327.634,1225272.968,2253696.3,2929013.667,32021.77139,1113651.671,811006.1706
1984,482166.0,25844.393,1886507.8,1069984.684,1315768.513,1227018.785,2373539.184,3207202.34,37242.74012,1138182.383,696739.9462
1985,523906.0,26441.109,1877743.664,1079471.879,1382083.794,1303247.074,2364206.375,3117728.619,45264.37754,1225202.858,594659.3254
1986,563082.0,27102.237,1792564.156,1072751.335,1329261.777,1217001.048,2447310.477,3179522.56,42518.7609,1126830.395,668070.3983
1987,615359.0,27777.158,1945345.399,1134976.427,1401204.999,1307891.865,2578318.262,3324904.102,44951.38533,1325180.755,524441.4501
1988,671575.0,28464.249,1882197.396,1200876.484,1351184.146,1358897.726,2730005.235,3464385.931,50824.28608,1287546.117,515856.1295
1989,722979.0,29218.164,1936041.811,1275405.999,1667030.399,1420136.533,2816953.512,3499194.302,57918.63584,1372354.604,742317.8185
1990,773460.0,29959.515,1980660.497,1342105.398,1583547.423,1390975.058,2834433.763,3486793.785,65319.70397,1452667.597,673021.572
1991,790046.0,30470.736,2003424.784,1314487.095,1515870.244,1379598.016,2691307.504,3261381.237,64020.12328,1561790.456,658177.2104
1992,807358.0,30974.659,2015601.388,1305979.704,1678251.337,1366836.718,2681120.971,3256671.396,64805.05505,1505514.237,642495.6129
1993,826447.0,31274.928,1952157.052,1255996.42,1774003.724,1367891.381,2641734.719,3161684.081,56918.28248,1518873.618,822465.2016
1994,861360.0,31484.435,1978988.004,1233673.591,1751899.785,1386549.143,2757750.542,3306313.987,58034.77798,1499909.441,636059.7725
1995,911577.0,31696.582,1933849.167,1277682.612,1700904.938,1341681.305,2820810.213,3327202.447,60995.12473,1489977.975,854610.5196
1996,964186.0,32018.834,1960328.751,1265125.986,1634801.343,1377736.61,2868005.519,3377646.299,60324.43031,1479075.769,824981.4822
1997,1037848.0,32486.01,2092852.096,1314733.41,1617037.059,1369188.736,2802790.349,3297955.395,64686.06109,1577102.191,767468.538
1998,1112800.0,32987.675,2103459.548,1433841.646,1800883.272,1490852.201,2811081.394,3314682.012,46074.5751,1754641.36,838296.0609
1999,1210221.0,33499.204,2121643.704,1351765.905,1788178.93,1492407.268,2873058.841,3425281.684,47426.22346,1640374.194,765491.9273
2000,1317343.0,33994.383,2129340.298,1384791.501,1964323.167,1452006.758,3021544.739,3568169.035,47941.69483,1545193.433,742639.4822
2001,1338051.0,34481.753,2134130.772,1459895.742,1900558.497,1430228.299,2970936.958,3600346.442,46727.4823,1514322.328,615357.5253
2002,1385749.0,34867.773,1995915.15,1468061.718,1727345.262,1436651.402,3134488.075,3730210.982,47113.96642,1576351.895,684706.464
2003,1460304.0,35236.589,1983378.308,1462917.896,1775372.396,1487406.09,3274443.67,3813131.783,47754.17209,1595217.954,775046.7826
2004,1571198.0,35538.256,2050606.518,1569272.402,1752098.378,1513849.958,3201788.482,3765876.281,46374.30958,1669049.885,769402.7643
2005,1691991.0,35770.688,1998812.525,1544469.184,1798398.603,1494214.112,3290706.49,3840156.123,46729.90398,1595148.853,818802.7598
2006,1800779.0,35947.461,1945112.656,1581181.07,1913977.204,1536142.623,3342783.421,3866738.995,45095.433,1580092.014,897231.6446
2007,1881766.0,36185.908,1924811.84,1611141.937,1830900.388,1527330.033,3387324.173,3896876.728,43136.47689,1580780.332,706849.15
2008,1925499.0,36538.008,1879830.524,1634332.562,1780097.385,1562675.026,3220751.395,3696960.679,39420.32868,1592596.466,677502.4609
2009,1884452.0,36887.615,1769997.27,1578660.295,1749620.228,1527310.983,3129539.397,3571545.138,31318.46832,1560592.437,712704.4602
